Categoria do Produto,Filial,Nome do Produto,Preço do Produto (R$),Quantidade em Estoque,Data da Venda
Eletrodomésticos,Filial 3,Batom líquido,16.14,10,INDISPONIVEL
Alimentos,Filial 5,Delineador líquido,37.51,24,INDISPONIVEL
Alimentos,Filial 8,Sombra de olhos,98.77,70,INDISPONIVEL
Alimentos,Filial 3,Pó compacto,18.12,14,INDISPONIVEL
Alimentos,Filial 1,Pó compacto,35.48,45,INDISPONIVEL
Alimentos,Filial 7,Base líquida,25.97,99,INDISPONIVEL
Eletrodomésticos,Filial 4,Batom líquido,25.13,11,INDISPONIVEL
Eletrônicos,Filial 2,Batom matte,46.19,50,INDISPONIVEL
Eletrodomésticos,Filial 1,Pó compacto,31.23,54,INDISPONIVEL
Eletrônicos,Filial 2,Lápis de sobrancelha,92.06,11,INDISPONIVEL
Eletrônicos,Filial 10,Lápis de sobrancelha,27.87,10,INDISPONIVEL
Roupas,Filial 8,Blush em pó,44.22,67,INDISPONIVEL
Eletrodomésticos,Filial 4,Base líquida,11.7,86,INDISPONIVEL
Eletrodomésticos,Filial 4,Delineador líquido,94.39,47,INDISPONIVEL
Eletrônicos,Filial 9,Batom líquido,36.06,17,INDISPONIVEL
Alimentos,Filial 10,Delineador líquido,73.8,22,INDISPONIVEL
Roupas,Filial 4,Blush em pó,1.22,33,INDISPONIVEL
Alimentos,Filial 6,Pó compacto,63.12,89,INDISPONIVEL
Eletrônicos,Filial 10,Máscara de cílios,29.82,44,INDISPONIVEL
Roupas,Filial 7,Batom líquido,87.6,67,INDISPONIVEL
Eletrodomésticos,Filial 1,Delineador líquido,92.61,79,INDISPONIVEL
Alimentos,Filial 6,Lápis de sobrancelha,38.06,21,INDISPONIVEL
Eletrodomésticos,Filial 4,Delineador líquido,45.86,46,INDISPONIVEL
Eletrodomésticos,Filial 4,Delineador líquido,22.53,83,INDISPONIVEL
Alimentos,Filial 4,Corretivo,21.08,1,INDISPONIVEL
Alimentos,Filial 5,Blush em pó,10.4,96,INDISPONIVEL
Eletrodomésticos,Filial 7,Delineador líquido,48.78,90,INDISPONIVEL
Eletrônicos,Filial 3,Corretivo,91.8,72,INDISPONIVEL
Roupas,Filial 10,Lápis de sobrancelha,29.49,14,INDISPONIVEL
Alimentos,Filial 7,Batom matte,9.47,82,INDISPONIVEL
Roupas,Filial 7,Batom líquido,40.19,91,INDISPONIVEL
Eletrônicos,Filial 3,Batom líquido,15.59,44,INDISPONIVEL
Alimentos,Filial 6,Delineador líquido,35.33,17,INDISPONIVEL
Eletrodomésticos,Filial 3,Blush em pó,22.05,21,INDISPONIVEL
Alimentos,Filial 7,Delineador líquido,11.66,47,INDISPONIVEL
Eletrônicos,Filial 5,Corretivo,39.44,73,INDISPONIVEL
Alimentos,Filial 1,Sombra de olhos,24.7,27,INDISPONIVEL
Eletrônicos,Filial 9,Pó compacto,22.21,48,INDISPONIVEL
Eletrodomésticos,Filial 8,Corretivo,56.91,11,INDISPONIVEL
Alimentos,Filial 3,Blush em pó,92.02,80,INDISPONIVEL
Eletrodomésticos,Filial 9,Pó compacto,47.04,97,INDISPONIVEL
Eletrodomésticos,Filial 2,Batom líquido,53.46,18,INDISPONIVEL
Eletrônicos,Filial 8,Blush em pó,22.33,69,INDISPONIVEL
Eletrônicos,Filial 1,Batom matte,34.04,81,INDISPONIVEL
Roupas,Filial 4,Batom matte,56.84,16,INDISPONIVEL
Eletrodomésticos,Filial 6,Corretivo,91.85,36,INDISPONIVEL
Roupas,Filial 6,Blush em pó,82.77,40,INDISPONIVEL
Eletrônicos,Filial 1,Sombra de olhos,88.51,37,INDISPONIVEL
Alimentos,Filial 1,Delineador líquido,47.63,23,INDISPONIVEL
Eletrodomésticos,Filial 4,Batom matte,71.09,61,INDISPONIVEL
Alimentos,Filial 4,Delineador líquido,80.58,54,INDISPONIVEL
Eletrodomésticos,Filial 6,Batom matte,39.66,17,INDISPONIVEL
Alimentos,Filial 9,Batom líquido,89.76,30,INDISPONIVEL
Roupas,Filial 7,Corretivo,76.69,42,INDISPONIVEL
Eletrodomésticos,Filial 8,Lápis de sobrancelha,41.82,85,INDISPONIVEL
Eletrônicos,Filial 9,Sombra de olhos,95.02,33,INDISPONIVEL
Alimentos,Filial 9,Base líquida,21.51,4,INDISPONIVEL
Eletrodomésticos,Filial 2,Pó compacto,36.1,75,INDISPONIVEL
Alimentos,Filial 10,Blush em pó,23.75,76,INDISPONIVEL
Eletrônicos,Filial 10,Delineador líquido,17.94,9,INDISPONIVEL
Eletrodomésticos,Filial 5,Batom matte,61.15,23,INDISPONIVEL
Alimentos,Filial 1,Batom matte,10.14,76,INDISPONIVEL
Eletrônicos,Filial 4,Corretivo,8.38,74,INDISPONIVEL
Alimentos,Filial 3,Blush em pó,68.66,90,INDISPONIVEL
Alimentos,Filial 3,Batom matte,94.48,56,INDISPONIVEL
Eletrodomésticos,Filial 10,Base líquida,61.52,45,INDISPONIVEL
Roupas,Filial 2,Corretivo,75.95,86,INDISPONIVEL
Eletrodomésticos,Filial 3,Blush em pó,29.08,73,INDISPONIVEL
Eletrônicos,Filial 1,Sombra de olhos,73.62,23,INDISPONIVEL
Eletrônicos,Filial 3,Base líquida,73.08,96,INDISPONIVEL
Eletrodomésticos,Filial 8,Máscara de cílios,54.72,69,INDISPONIVEL
Roupas,Filial 4,Máscara de cílios,98.37,91,INDISPONIVEL
Eletrônicos,Filial 9,Lápis de sobrancelha,69.84,77,INDISPONIVEL
Eletrônicos,Filial 6,Batom líquido,51.2,97,INDISPONIVEL
Roupas,Filial 7,Sombra de olhos,63.58,12,INDISPONIVEL
Roupas,Filial 9,Sombra de olhos,18.03,4,INDISPONIVEL
Eletrodomésticos,Filial 6,Batom matte,85.48,16,INDISPONIVEL
Eletrônicos,Filial 7,Sombra de olhos,67.04,5,INDISPONIVEL
Eletrodomésticos,Filial 7,Máscara de cílios,2.32,69,INDISPONIVEL
Roupas,Filial 9,Máscara de cílios,26.51,5,INDISPONIVEL
Alimentos,Filial 6,Lápis de sobrancelha,80.99,40,INDISPONIVEL
Roupas,Filial 6,Batom líquido,23.51,10,INDISPONIVEL
Eletrodomésticos,Filial 1,Base líquida,72.35,83,INDISPONIVEL
Alimentos,Filial 4,Blush em pó,73.9,16,INDISPONIVEL
Alimentos,Filial 1,Batom matte,87.61,74,INDISPONIVEL
Roupas,Filial 4,Máscara de cílios,79.1,22,INDISPONIVEL
Roupas,Filial 8,Lápis de sobrancelha,57.36,20,INDISPONIVEL
Alimentos,Filial 6,Batom matte,10.52,48,INDISPONIVEL
Eletrodomésticos,Filial 2,Batom matte,68.72,5,INDISPONIVEL
Eletrodomésticos,Filial 2,Blush em pó,60.99,55,INDISPONIVEL
Eletrônicos,Filial 4,Batom matte,14.68,61,INDISPONIVEL
Eletrodomésticos,Filial 5,Delineador líquido,5.43,54,INDISPONIVEL
Roupas,Filial 6,Sombra de olhos,25.28,47,INDISPONIVEL
Eletrodomésticos,Filial 7,Base líquida,74.54,90,INDISPONIVEL
Eletrônicos,Filial 6,Máscara de cílios,24.15,89,INDISPONIVEL
Alimentos,Filial 5,Pó compacto,51.2,24,INDISPONIVEL
Roupas,Filial 4,Sombra de olhos,46.42,29,INDISPONIVEL
Alimentos,Filial 6,Máscara de cílios,32.29,63,INDISPONIVEL
Alimentos,Filial 2,Batom matte,8.28,32,INDISPONIVEL
Eletrodomésticos,Filial 4,Corretivo,55.37,62,INDISPONIVEL
Eletrônicos,Filial 6,Batom matte,16.69,42,INDISPONIVEL
Alimentos,Filial 6,Batom líquido,30.36,15,INDISPONIVEL
Eletrodomésticos,Filial 7,Sombra de olhos,1.7,54,INDISPONIVEL
Alimentos,Filial 7,Blush em pó,13.41,73,INDISPONIVEL
Alimentos,Filial 5,Blush em pó,44.14,3,INDISPONIVEL
Roupas,Filial 1,Sombra de olhos,4.12,15,INDISPONIVEL
Alimentos,Filial 2,Máscara de cílios,78.91,31,INDISPONIVEL
Eletrônicos,Filial 1,Blush em pó,62.7,79,INDISPONIVEL
Eletrodomésticos,Filial 4,Corretivo,3.26,25,INDISPONIVEL
Eletrônicos,Filial 6,Blush em pó,70.87,55,INDISPONIVEL
Eletrodomésticos,Filial 5,Batom líquido,1.96,37,INDISPONIVEL
Eletrônicos,Filial 4,Base líquida,44.55,84,INDISPONIVEL
Eletrodomésticos,Filial 2,Batom líquido,42.49,83,INDISPONIVEL
Alimentos,Filial 5,Batom líquido,45.58,71,INDISPONIVEL
Roupas,Filial 2,Sombra de olhos,80.05,59,INDISPONIVEL
Roupas,Filial 9,Corretivo,55.37,1,INDISPONIVEL
Alimentos,Filial 1,Corretivo,51.56,20,INDISPONIVEL
Eletrodomésticos,Filial 3,Batom matte,7.87,50,INDISPONIVEL
Alimentos,Filial 7,Máscara de cílios,60.65,51,INDISPONIVEL
Alimentos,Filial 1,Pó compacto,51.81,8,INDISPONIVEL
Roupas,Filial 2,Corretivo,26.49,54,INDISPONIVEL
Eletrônicos,Filial 4,Pó compacto,37.79,42,INDISPONIVEL
Eletrônicos,Filial 3,Pó compacto,36.84,8,INDISPONIVEL
Roupas,Filial 4,Batom matte,66.91,89,INDISPONIVEL
Alimentos,Filial 5,Blush em pó,95.87,50,INDISPONIVEL
Roupas,Filial 6,Batom líquido,3.65,76,INDISPONIVEL
Eletrônicos,Filial 10,Lápis de sobrancelha,47.56,76,INDISPONIVEL
Eletrodomésticos,Filial 8,Batom líquido,40.88,51,INDISPONIVEL
Eletrodomésticos,Filial 2,Blush em pó,2.22,90,INDISPONIVEL
Alimentos,Filial 8,Corretivo,46.1,49,INDISPONIVEL
Alimentos,Filial 7,Delineador líquido,48.94,48,INDISPONIVEL
Eletrônicos,Filial 8,Lápis de sobrancelha,81.94,8,INDISPONIVEL
Alimentos,Filial 10,Pó compacto,29.16,11,INDISPONIVEL
Alimentos,Filial 8,Batom líquido,17.58,3,INDISPONIVEL
Roupas,Filial 8,Batom matte,12.41,49,INDISPONIVEL
Eletrodomésticos,Filial 7,Blush em pó,50.96,98,INDISPONIVEL
Eletrodomésticos,Filial 3,Lápis de sobrancelha,36.26,14,INDISPONIVEL
Alimentos,Filial 8,Máscara de cílios,44.21,10,INDISPONIVEL
Eletrônicos,Filial 6,Corretivo,19.93,91,INDISPONIVEL
Eletrônicos,Filial 3,Corretivo,43.41,49,INDISPONIVEL
Eletrônicos,Filial 8,Batom líquido,70.51,34,INDISPONIVEL
Roupas,Filial 5,Corretivo,51.44,71,INDISPONIVEL
Alimentos,Filial 1,Lápis de sobrancelha,55.21,56,INDISPONIVEL
Roupas,Filial 8,Base líquida,92.1,47,INDISPONIVEL
Roupas,Filial 6,Blush em pó,10.3,19,INDISPONIVEL
Eletrônicos,Filial 9,Lápis de sobrancelha,37.88,2,INDISPONIVEL
Eletrônicos,Filial 4,Pó compacto,79.07,88,INDISPONIVEL
Roupas,Filial 6,Base líquida,57.89,56,INDISPONIVEL
Eletrodomésticos,Filial 3,Batom líquido,4.07,58,INDISPONIVEL
Alimentos,Filial 9,Blush em pó,79.77,43,INDISPONIVEL
Eletrodomésticos,Filial 5,Lápis de sobrancelha,79.57,7,INDISPONIVEL
Eletrônicos,Filial 7,Pó compacto,66.48,96,INDISPONIVEL
Eletrodomésticos,Filial 9,Delineador líquido,52.21,91,INDISPONIVEL
Alimentos,Filial 1,Delineador líquido,94.31,6,INDISPONIVEL
Eletrônicos,Filial 5,Máscara de cílios,27.27,18,INDISPONIVEL
Eletrodomésticos,Filial 5,Lápis de sobrancelha,95.74,47,INDISPONIVEL
Roupas,Filial 10,Lápis de sobrancelha,65.56,12,INDISPONIVEL
Eletrônicos,Filial 4,Batom matte,95.86,65,INDISPONIVEL
Eletrodomésticos,Filial 6,Batom matte,20.26,81,INDISPONIVEL
Eletrodomésticos,Filial 4,Batom matte,98.07,93,INDISPONIVEL
Eletrodomésticos,Filial 3,Base líquida,12.53,33,INDISPONIVEL
Alimentos,Filial 2,Base líquida,60.77,93,INDISPONIVEL
Roupas,Filial 10,Batom matte,59.53,58,INDISPONIVEL
Eletrônicos,Filial 3,Batom matte,76.08,94,INDISPONIVEL
Roupas,Filial 4,Sombra de olhos,36.39,43,INDISPONIVEL
Eletrônicos,Filial 10,Base líquida,1.54,87,INDISPONIVEL
Alimentos,Filial 4,Máscara de cílios,39.75,96,INDISPONIVEL
Alimentos,Filial 1,Sombra de olhos,9.99,99,INDISPONIVEL
Alimentos,Filial 2,Delineador líquido,96.51,66,INDISPONIVEL
Alimentos,Filial 10,Base líquida,69.45,36,INDISPONIVEL
Alimentos,Filial 1,Sombra de olhos,39.1,39,INDISPONIVEL
Alimentos,Filial 1,Máscara de cílios,55.02,79,INDISPONIVEL
Roupas,Filial 7,Lápis de sobrancelha,69.05,76,INDISPONIVEL
Roupas,Filial 9,Batom matte,1.72,10,INDISPONIVEL
Eletrodomésticos,Filial 1,Lápis de sobrancelha,11.39,54,INDISPONIVEL
Eletrodomésticos,Filial 2,Sombra de olhos,17.06,70,INDISPONIVEL
Eletrodomésticos,Filial 1,Corretivo,52.6,60,INDISPONIVEL
Eletrônicos,Filial 5,Sombra de olhos,74.66,13,INDISPONIVEL
Eletrônicos,Filial 8,Lápis de sobrancelha,94.69,99,INDISPONIVEL
Eletrônicos,Filial 3,Batom líquido,61.77,98,INDISPONIVEL
Eletrodomésticos,Filial 5,Pó compacto,33.22,97,INDISPONIVEL
Eletrodomésticos,Filial 10,Lápis de sobrancelha,38.77,87,INDISPONIVEL
Eletrônicos,Filial 8,Corretivo,62.11,88,INDISPONIVEL
Eletrodomésticos,Filial 3,Máscara de cílios,83.53,8,INDISPONIVEL
Alimentos,Filial 6,Base líquida,31.32,34,INDISPONIVEL
Eletrodomésticos,Filial 1,Lápis de sobrancelha,68.58,54,INDISPONIVEL
Eletrônicos,Filial 1,Base líquida,79.1,32,INDISPONIVEL
Eletrônicos,Filial 6,Sombra de olhos,14.46,73,INDISPONIVEL
Eletrônicos,Filial 9,Blush em pó,8.82,99,INDISPONIVEL
Roupas,Filial 1,Sombra de olhos,47.73,19,INDISPONIVEL
Eletrodomésticos,Filial 6,Batom líquido,63.44,44,INDISPONIVEL
Eletrodomésticos,Filial 10,Pó compacto,5.49,96,INDISPONIVEL
Eletrônicos,Filial 6,Corretivo,30.08,79,INDISPONIVEL
Eletrodomésticos,Filial 2,Base líquida,54.34,12,INDISPONIVEL
Eletrônicos,Filial 1,Sombra de olhos,88.58,77,INDISPONIVEL
Roupas,Filial 3,Máscara de cílios,72.0,15,INDISPONIVEL
Alimentos,Filial 2,Batom matte,14.4,8,INDISPONIVEL
Eletrodomésticos,Filial 2,Delineador líquido,78.21,53,INDISPONIVEL
Alimentos,Filial 4,Sombra de olhos,59.59,17,INDISPONIVEL
Roupas,Filial 4,Pó compacto,39.89,65,INDISPONIVEL
Alimentos,Filial 1,Pó compacto,84.66,53,INDISPONIVEL
Eletrodomésticos,Filial 3,Pó compacto,79.78,95,INDISPONIVEL
Roupas,Filial 5,Base líquida,27.14,44,INDISPONIVEL
Eletrodomésticos,Filial 10,Blush em pó,69.03,52,INDISPONIVEL
Roupas,Filial 10,Batom líquido,7.52,88,INDISPONIVEL
Eletrodomésticos,Filial 6,Corretivo,67.33,96,INDISPONIVEL
Eletrônicos,Filial 9,Lápis de sobrancelha,90.11,34,INDISPONIVEL
Roupas,Filial 8,Corretivo,62.56,60,INDISPONIVEL
Roupas,Filial 7,Batom líquido,36.59,81,INDISPONIVEL
Eletrodomésticos,Filial 2,Corretivo,24.69,60,INDISPONIVEL
Alimentos,Filial 7,Corretivo,98.79,46,INDISPONIVEL
Eletrônicos,Filial 4,Lápis de sobrancelha,32.23,48,INDISPONIVEL
Eletrônicos,Filial 7,Batom matte,69.84,89,INDISPONIVEL
Eletrônicos,Filial 2,Batom matte,56.44,16,INDISPONIVEL
Roupas,Filial 9,Batom matte,60.82,61,INDISPONIVEL
Roupas,Filial 9,Delineador líquido,60.02,47,INDISPONIVEL
Alimentos,Filial 10,Lápis de sobrancelha,33.38,6,INDISPONIVEL
Eletrodomésticos,Filial 5,Base líquida,89.68,3,INDISPONIVEL
Eletrodomésticos,Filial 8,Delineador líquido,43.63,88,INDISPONIVEL
Eletrodomésticos,Filial 3,Corretivo,84.1,57,INDISPONIVEL
Eletrônicos,Filial 3,Base líquida,88.66,9,INDISPONIVEL
Alimentos,Filial 3,Máscara de cílios,54.84,96,INDISPONIVEL
Eletrodomésticos,Filial 9,Blush em pó,23.9,66,INDISPONIVEL
Eletrodomésticos,Filial 3,Máscara de cílios,96.34,6,INDISPONIVEL
Eletrônicos,Filial 4,Pó compacto,94.59,49,INDISPONIVEL
Roupas,Filial 8,Blush em pó,40.94,10,INDISPONIVEL
Eletrônicos,Filial 1,Delineador líquido,77.08,20,INDISPONIVEL
Eletrônicos,Filial 1,Delineador líquido,91.69,89,INDISPONIVEL
Roupas,Filial 5,Batom líquido,80.34,58,INDISPONIVEL
Roupas,Filial 10,Máscara de cílios,32.41,84,INDISPONIVEL
Alimentos,Filial 7,Máscara de cílios,98.03,3,INDISPONIVEL
Roupas,Filial 7,Delineador líquido,16.69,56,INDISPONIVEL
Alimentos,Filial 9,Máscara de cílios,84.18,18,INDISPONIVEL
Eletrodomésticos,Filial 2,Base líquida,91.33,5,INDISPONIVEL
Eletrodomésticos,Filial 8,Batom líquido,40.84,36,INDISPONIVEL
Eletrodomésticos,Filial 9,Batom matte,79.01,54,INDISPONIVEL
Eletrônicos,Filial 3,Batom matte,87.04,57,INDISPONIVEL
Roupas,Filial 2,Pó compacto,31.33,77,INDISPONIVEL
Roupas,Filial 8,Batom matte,61.14,25,INDISPONIVEL
Eletrodomésticos,Filial 10,Pó compacto,92.27,60,INDISPONIVEL
Eletrodomésticos,Filial 5,Corretivo,13.61,53,INDISPONIVEL
Alimentos,Filial 7,Máscara de cílios,4.66,52,INDISPONIVEL
Eletrônicos,Filial 1,Batom líquido,25.27,53,INDISPONIVEL
Eletrodomésticos,Filial 7,Sombra de olhos,81.22,9,INDISPONIVEL
Eletrônicos,Filial 10,Blush em pó,35.73,78,INDISPONIVEL
Roupas,Filial 7,Batom matte,16.86,51,INDISPONIVEL
Eletrônicos,Filial 10,Sombra de olhos,73.19,75,INDISPONIVEL
Roupas,Filial 5,Batom líquido,76.96,20,INDISPONIVEL
Alimentos,Filial 5,Blush em pó,29.33,21,INDISPONIVEL
Eletrodomésticos,Filial 7,Batom matte,62.38,92,INDISPONIVEL
Alimentos,Filial 3,Lápis de sobrancelha,57.37,73,INDISPONIVEL
Eletrodomésticos,Filial 2,Máscara de cílios,33.18,61,INDISPONIVEL
Alimentos,Filial 6,Lápis de sobrancelha,98.24,72,INDISPONIVEL
Alimentos,Filial 5,Lápis de sobrancelha,72.55,61,INDISPONIVEL
Eletrodomésticos,Filial 6,Batom matte,32.85,35,INDISPONIVEL
Eletrônicos,Filial 8,Batom líquido,54.81,80,INDISPONIVEL
Roupas,Filial 2,Sombra de olhos,89.06,94,INDISPONIVEL
Roupas,Filial 10,Blush em pó,1.95,24,INDISPONIVEL
Alimentos,Filial 1,Batom líquido,35.14,13,INDISPONIVEL
Alimentos,Filial 4,Lápis de sobrancelha,21.62,3,INDISPONIVEL
Eletrônicos,Filial 1,Delineador líquido,66.1,36,INDISPONIVEL
Eletrônicos,Filial 2,Máscara de cílios,74.17,27,INDISPONIVEL
Eletrônicos,Filial 2,Lápis de sobrancelha,59.94,9,INDISPONIVEL
Roupas,Filial 8,Corretivo,61.33,73,INDISPONIVEL
Alimentos,Filial 4,Blush em pó,84.17,60,INDISPONIVEL
Eletrônicos,Filial 8,Pó compacto,26.6,19,INDISPONIVEL
Eletrônicos,Filial 6,Base líquida,44.95,80,INDISPONIVEL
Eletrônicos,Filial 2,Batom líquido,16.6,5,INDISPONIVEL
Eletrodomésticos,Filial 7,Blush em pó,7.42,33,INDISPONIVEL
Eletrodomésticos,Filial 1,Batom matte,75.83,68,INDISPONIVEL
Eletrônicos,Filial 6,Batom líquido,43.11,79,INDISPONIVEL
Roupas,Filial 7,Corretivo,54.5,25,INDISPONIVEL
Eletrônicos,Filial 10,Blush em pó,60.74,85,INDISPONIVEL
Eletrodomésticos,Filial 1,Batom líquido,64.1,84,INDISPONIVEL
Alimentos,Filial 4,Batom matte,58.91,99,INDISPONIVEL
Roupas,Filial 10,Base líquida,88.02,29,INDISPONIVEL
Eletrodomésticos,Filial 5,Pó compacto,25.73,19,INDISPONIVEL
Eletrodomésticos,Filial 3,Delineador líquido,53.76,6,INDISPONIVEL
Roupas,Filial 3,Delineador líquido,76.46,4,INDISPONIVEL
Alimentos,Filial 6,Lápis de sobrancelha,93.7,47,INDISPONIVEL
Alimentos,Filial 9,Delineador líquido,24.71,62,INDISPONIVEL
Eletrônicos,Filial 1,Batom matte,14.8,40,INDISPONIVEL
Roupas,Filial 8,Batom matte,73.04,80,INDISPONIVEL
Eletrodomésticos,Filial 5,Lápis de sobrancelha,16.77,24,INDISPONIVEL
Eletrônicos,Filial 10,Batom matte,59.08,20,INDISPONIVEL
Eletrônicos,Filial 6,Corretivo,90.08,18,INDISPONIVEL
Eletrônicos,Filial 2,Máscara de cílios,86.42,10,INDISPONIVEL
Eletrônicos,Filial 10,Lápis de sobrancelha,50.72,11,INDISPONIVEL
Eletrodomésticos,Filial 9,Delineador líquido,83.09,59,INDISPONIVEL
Roupas,Filial 9,Pó compacto,96.24,59,INDISPONIVEL
Eletrônicos,Filial 2,Pó compacto,57.31,38,INDISPONIVEL
Eletrônicos,Filial 5,Pó compacto,17.96,93,INDISPONIVEL
Roupas,Filial 2,Base líquida,45.57,25,INDISPONIVEL
Alimentos,Filial 6,Lápis de sobrancelha,2.81,89,INDISPONIVEL
Roupas,Filial 4,Lápis de sobrancelha,83.22,4,INDISPONIVEL
Eletrodomésticos,Filial 2,Pó compacto,43.95,34,INDISPONIVEL
Eletrônicos,Filial 7,Sombra de olhos,92.18,48,INDISPONIVEL
Eletrônicos,Filial 8,Blush em pó,63.92,56,INDISPONIVEL
Alimentos,Filial 1,Base líquida,30.84,26,INDISPONIVEL
Eletrônicos,Filial 1,Lápis de sobrancelha,20.85,6,INDISPONIVEL
Alimentos,Filial 2,Pó compacto,7.38,68,INDISPONIVEL
Eletrodomésticos,Filial 7,Pó compacto,15.68,26,INDISPONIVEL
Roupas,Filial 10,Sombra de olhos,72.01,53,INDISPONIVEL
Alimentos,Filial 6,Blush em pó,11.57,7,INDISPONIVEL
Alimentos,Filial 8,Batom líquido,30.24,22,INDISPONIVEL
Roupas,Filial 7,Lápis de sobrancelha,66.87,52,INDISPONIVEL
Eletrônicos,Filial 4,Batom líquido,94.79,82,INDISPONIVEL
Roupas,Filial 4,Batom líquido,7.32,44,INDISPONIVEL
Roupas,Filial 8,Sombra de olhos,21.71,76,INDISPONIVEL
Eletrônicos,Filial 9,Máscara de cílios,77.47,17,INDISPONIVEL
Alimentos,Filial 2,Pó compacto,81.89,84,INDISPONIVEL
Alimentos,Filial 9,Lápis de sobrancelha,47.96,8,INDISPONIVEL
Alimentos,Filial 5,Corretivo,7.61,79,INDISPONIVEL
Alimentos,Filial 8,Delineador líquido,71.65,52,INDISPONIVEL
Alimentos,Filial 3,Base líquida,72.23,29,INDISPONIVEL
Alimentos,Filial 6,Batom matte,68.59,8,INDISPONIVEL
Roupas,Filial 10,Delineador líquido,5.32,31,INDISPONIVEL
Roupas,Filial 7,Base líquida,25.91,94,INDISPONIVEL
Eletrodomésticos,Filial 6,Batom matte,21.79,80,INDISPONIVEL
Eletrônicos,Filial 4,Pó compacto,91.76,77,INDISPONIVEL
Alimentos,Filial 1,Delineador líquido,7.1,69,INDISPONIVEL
Roupas,Filial 9,Batom líquido,12.63,9,INDISPONIVEL
Roupas,Filial 2,Máscara de cílios,34.9,37,INDISPONIVEL
Alimentos,Filial 6,Corretivo,4.51,33,INDISPONIVEL
Alimentos,Filial 10,Base líquida,57.27,59,INDISPONIVEL
Eletrodomésticos,Filial 6,Batom líquido,24.71,63,INDISPONIVEL
Roupas,Filial 3,Delineador líquido,86.89,21,INDISPONIVEL
Roupas,Filial 8,Batom matte,75.06,27,INDISPONIVEL
Roupas,Filial 3,Blush em pó,90.02,11,INDISPONIVEL
Eletrodomésticos,Filial 4,Máscara de cílios,78.42,17,INDISPONIVEL
Roupas,Filial 1,Batom matte,54.24,40,INDISPONIVEL
Eletrodomésticos,Filial 4,Batom líquido,53.93,87,INDISPONIVEL
Eletrodomésticos,Filial 6,Corretivo,35.49,44,INDISPONIVEL
Eletrônicos,Filial 3,Batom matte,78.13,57,INDISPONIVEL
Eletrodomésticos,Filial 3,Pó compacto,70.6,14,INDISPONIVEL
Eletrônicos,Filial 6,Batom matte,54.23,49,INDISPONIVEL
Eletrodomésticos,Filial 2,Máscara de cílios,90.39,51,INDISPONIVEL
Roupas,Filial 6,Sombra de olhos,63.23,1,INDISPONIVEL
Eletrodomésticos,Filial 6,Batom líquido,12.36,69,INDISPONIVEL
Eletrônicos,Filial 3,Sombra de olhos,97.14,22,INDISPONIVEL
Roupas,Filial 10,Batom líquido,71.12,82,INDISPONIVEL
Eletrônicos,Filial 4,Delineador líquido,30.23,90,INDISPONIVEL
Alimentos,Filial 6,Máscara de cílios,16.7,8,INDISPONIVEL
Roupas,Filial 8,Lápis de sobrancelha,59.55,21,INDISPONIVEL
Roupas,Filial 9,Sombra de olhos,16.73,63,INDISPONIVEL
Roupas,Filial 9,Sombra de olhos,30.13,64,INDISPONIVEL
Roupas,Filial 10,Base líquida,95.6,93,INDISPONIVEL
Eletrodomésticos,Filial 7,Pó compacto,77.67,11,INDISPONIVEL
Eletrodomésticos,Filial 6,Máscara de cílios,53.5,2,INDISPONIVEL
Eletrônicos,Filial 10,Pó compacto,33.88,24,INDISPONIVEL
Eletrodomésticos,Filial 9,Máscara de cílios,81.01,85,INDISPONIVEL
Eletrônicos,Filial 1,Sombra de olhos,99.31,74,INDISPONIVEL
Alimentos,Filial 2,Pó compacto,24.92,9,INDISPONIVEL
Eletrodomésticos,Filial 10,Batom líquido,47.94,100,INDISPONIVEL
Alimentos,Filial 1,Delineador líquido,88.01,73,INDISPONIVEL
Eletrodomésticos,Filial 5,Blush em pó,13.07,35,INDISPONIVEL
Roupas,Filial 8,Blush em pó,28.89,69,INDISPONIVEL
Alimentos,Filial 1,Máscara de cílios,91.33,76,INDISPONIVEL
Eletrodomésticos,Filial 7,Base líquida,91.39,1,INDISPONIVEL
Eletrodomésticos,Filial 2,Lápis de sobrancelha,11.46,28,INDISPONIVEL
Alimentos,Filial 3,Delineador líquido,92.1,37,INDISPONIVEL
Eletrodomésticos,Filial 10,Delineador líquido,75.25,30,INDISPONIVEL
Eletrodomésticos,Filial 8,Máscara de cílios,6.76,90,INDISPONIVEL
Roupas,Filial 9,Pó compacto,55.63,34,INDISPONIVEL
Eletrodomésticos,Filial 10,Batom líquido,93.76,6,INDISPONIVEL
Eletrônicos,Filial 4,Batom matte,42.37,79,INDISPONIVEL
Eletrodomésticos,Filial 9,Base líquida,9.3,70,INDISPONIVEL
Eletrodomésticos,Filial 5,Máscara de cílios,72.66,80,INDISPONIVEL
Eletrônicos,Filial 7,Sombra de olhos,79.29,43,INDISPONIVEL
Roupas,Filial 2,Pó compacto,84.59,41,INDISPONIVEL
Eletrônicos,Filial 5,Máscara de cílios,41.25,11,INDISPONIVEL
Eletrônicos,Filial 3,Lápis de sobrancelha,74.62,43,INDISPONIVEL
Roupas,Filial 1,Delineador líquido,73.53,64,INDISPONIVEL
Alimentos,Filial 6,Delineador líquido,80.44,58,INDISPONIVEL
Eletrodomésticos,Filial 3,Máscara de cílios,52.5,62,INDISPONIVEL
